column,dtype,non_null_count,missing_count,unique_non_null,missing_percent
id,int64,56873,0,56873,0.0
listing_url,object,56873,0,56873,0.0
scrape_id,int64,56873,0,1,0.0
last_scraped,object,56873,0,2,0.0
source,object,56873,0,2,0.0
name,object,56873,0,54619,0.0
description,object,55576,1297,47970,2.281
neighborhood_overview,float64,0,56873,0,100.0
picture_url,object,56855,18,56110,0.032
host_id,int64,56873,0,29047,0.0
host_url,object,56873,0,29047,0.0
host_profile_id,int64,56873,0,29047,0.0
host_profile_url,object,56873,0,29047,0.0
host_name,object,56873,0,5677,0.0
host_since,float64,0,56873,0,100.0
hosts_time_as_user_years,int64,56873,0,18,0.0
hosts_time_as_user_months,int64,56873,0,12,0.0
hosts_time_as_host_years,float64,56872,1,16,0.002
hosts_time_as_host_months,float64,56872,1,12,0.002
host_location,object,36210,20663,1336,36.332
host_about,object,22427,34446,8491,60.567
host_response_time,float64,0,56873,0,100.0
host_response_rate,float64,0,56873,0,100.0
host_acceptance_rate,float64,0,56873,0,100.0
host_is_superhost,object,56873,0,2,0.0
host_thumbnail_url,float64,0,56873,0,100.0
host_picture_url,object,56873,0,24919,0.0
host_neighbourhood,float64,0,56873,0,100.0
host_listings_count,int64,56873,0,254,0.0
host_total_listings_count,float64,0,56873,0,100.0
host_verifications,float64,0,56873,0,100.0
host_has_profile_pic,object,56873,0,2,0.0
host_identity_verified,object,56873,0,2,0.0
neighbourhood,float64,0,56873,0,100.0
neighbourhood_cleansed,object,56873,0,372,0.0
neighbourhood_group_cleansed,float64,0,56873,0,100.0
latitude,float64,56873,0,46846,0.0
longitude,float64,56873,0,47509,0.0
property_type,object,56873,0,99,0.0
room_type,object,56873,0,4,0.0
accommodates,int64,56873,0,16,0.0
bathrooms,float64,48026,8847,29,15.556
bathrooms_text,object,56810,63,50,0.111
bedrooms,float64,48360,8513,22,14.968
beds,float64,50044,6829,29,12.007
amenities,object,56873,0,52166,0.0
price,object,51864,5009,11872,8.807
price_quote_checkin_date,object,54261,2612,312,4.593
price_quote_checkout_date,object,54261,2612,331,4.593
price_quote_total_price,float64,51863,5010,11581,8.809
price_quote_price_per_night,float64,51863,5010,11872,8.809
price_quote_raw,object,54261,2612,45131,4.593
minimum_nights,float64,56872,1,58,0.002
maximum_nights,float64,56872,1,183,0.002
minimum_minimum_nights,float64,56872,1,58,0.002
maximum_minimum_nights,float64,56872,1,68,0.002
minimum_maximum_nights,float64,56872,1,181,0.002
maximum_maximum_nights,float64,56872,1,183,0.002
minimum_nights_avg_ntm,float64,56873,0,285,0.0
maximum_nights_avg_ntm,float64,56873,0,3355,0.0
calendar_updated,float64,0,56873,0,100.0
has_availability,object,56762,111,2,0.195
availability_30,int64,56873,0,31,0.0
availability_60,int64,56873,0,61,0.0
availability_90,int64,56873,0,91,0.0
availability_365,int64,56873,0,366,0.0
calendar_last_scraped,object,56873,0,2,0.0
number_of_reviews,int64,56873,0,508,0.0
number_of_reviews_ltm,int64,56873,0,115,0.0
number_of_reviews_l30d,int64,56873,0,19,0.0
availability_eoy,int64,56873,0,185,0.0
number_of_reviews_ly,int64,56873,0,113,0.0
estimated_occupancy_l365d,int64,56873,0,87,0.0
estimated_revenue_l365d,float64,51864,5009,9926,8.807
first_review,object,40372,16501,4118,29.014
last_review,object,40372,16501,2286,29.014
review_scores_rating,float64,40372,16501,143,29.014
review_scores_accuracy,float64,40367,16506,146,29.023
review_scores_cleanliness,float64,40368,16505,161,29.021
review_scores_checkin,float64,40363,16510,131,29.03
review_scores_communication,float64,40365,16508,146,29.026
review_scores_location,float64,40365,16508,167,29.026
review_scores_value,float64,40363,16510,156,29.03
license,object,45801,11072,32177,19.468
instant_bookable,float64,0,56873,0,100.0
calculated_host_listings_count,int64,56873,0,74,0.0
calculated_host_listings_count_entire_homes,int64,56873,0,73,0.0
calculated_host_listings_count_private_rooms,int64,56873,0,26,0.0
calculated_host_listings_count_shared_rooms,int64,56873,0,7,0.0
reviews_per_month,float64,40372,16501,692,29.014
